crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	8.936269	5996	0.000000
281474976710655.000000	10.928524	5997	0.000000
281474976710655.000000	9.891373	5998	0.000000
281474976710655.000000	9.231145	5999	0.000000
281474976710655.000000	9.361982	6000	0.000000
281474976710655.000000	10.564990	6001	0.000000
281474976710655.000000	10.159661	6002	0.000000
281474976710655.000000	9.143476	6003	0.000000
281474976710655.000000	8.659162	6004	0.000000
281474976710655.000000	10.311187	6005	0.000000
281474976710655.000000	10.485489	6006	0.000000
281474976710655.000000	9.277197	6007	0.000000
281474976710655.000000	9.837263	6008	0.000000
281474976710655.000000	10.019729	6009	0.000000
281474976710655.000000	10.072254	6010	0.000000
281474976710655.000000	8.813223	6011	0.000000
281474976710655.000000	9.089787	6012	0.000000
281474976710655.000000	10.065014	6013	0.000000
281474976710655.000000	9.863043	6014	0.000000
281474976710655.000000	9.314939	6015	0.000000
281474976710655.000000	8.680148	6016	0.000000
281474976710655.000000	10.383139	6017	0.000000
281474976710655.000000	9.831549	6018	0.000000
281474976710655.000000	8.674233	6019	0.000000
281474976710655.000000	9.463385	6020	0.000000
281474976710655.000000	9.382702	6021	0.000000
281474976710655.000000	9.992280	6022	0.000000
281474976710655.000000	9.586141	6023	0.000000
281474976710655.000000	8.939803	6024	0.000000
281474976710655.000000	9.338253	6025	0.000000
281474976710655.000000	9.431360	6026	0.000000
281474976710655.000000	9.699477	6027	0.000000
281474976710655.000000	9.339607	6028	0.000000
281474976710655.000000	9.507236	6029	0.000000
281474976710655.000000	9.036757	6030	0.000000
281474976710655.000000	9.222816	6031	0.000000
281474976710655.000000	9.732473	6032	0.000000
281474976710655.000000	9.477062	6033	0.000000
281474976710655.000000	9.230369	6034	0.000000
281474976710655.000000	9.109660	6035	0.000000
281474976710655.000000	9.332253	6036	0.000000
281474976710655.000000	9.565009	6037	0.000000
281474976710655.000000	9.646665	6038	0.000000
281474976710655.000000	8.860826	6039	0.000000
281474976710655.000000	9.276933	6040	0.000000
